DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
2200002D01Rik	1	9	6	5	2	11	12	10	4	10	2	11	3	9	2	6	5	8	2	4	3	4	4	4	5	3	5	5	4	4	3	4
2200002J24Rik	3	10	2	7	4	10	2	4	9	8	2	17	3	6	2	9	2	1	2	3	1	1	2	1	2	2	1	2	1	1	1	4
2210016F16Rik	2	12	2	12	5	9	7	15	3	18	3	26	2	10	3	3	4	4	6	4	3	6	1	2	2	4	8	7	3	2	2	5
2210016L21Rik	3	7	12	11	5	9	2	16	8	9	4	20	3	7	3	9	16	17	19	20	16	26	20	29	20	16	20	54	18	19	30	54
Lypd8l	6	3	6	14	3	4	5	7	4	12	5	20	9	11	4	9	1	1	3	3	5	2	1	3	4	3	1	3	2	0	3	4
2210408I21Rik	6	3	3	14	9	8	5	11	2	12	4	25	1	11	5	11	6	11	8	8	3	7	4	9	3	7	7	15	8	6	4	12
2210418O10Rik	7	19	6	39	6	12	8	18	6	36	7	37	6	17	2	15	209	227	211	174	172	245	117	169	159	167	134	287	252	262	199	335
2300002M23Rik	3	8	4	6	5	8	8	12	2	15	7	20	2	14	2	9	0	0	1	1	4	8	2	1	1	1	0	1	2	1	2	5
2300009A05Rik	4	6	3	12	1	9	4	6	6	12	2	12	3	7	1	10	3	5	5	6	4	5	3	9	3	5	5	18	4	3	3	17
2310002L09Rik	5	9	3	9	3	5	6	3	4	17	6	21	3	8	1	5	1	1	2	2	3	3	0	2	1	1	3	5	1	2	2	3
2310009B15Rik	2	5	6	7	3	3	4	8	4	19	4	10	1	9	0	18	2	7	11	3	5	9	6	5	1	4	4	9	1	2	8	19
2310011J03Rik	3	10	8	11	1	14	9	19	7	17	5	17	4	13	5	6	8	2	8	2	8	6	7	2	9	3	8	13	5	5	8	16
2310022A10Rik	5	5	6	9	5	10	4	12	8	15	5	17	5	12	3	5	7	8	7	7	6	14	2	12	5	12	10	19	12	4	10	13
2310022B05Rik	2	5	1	15	4	7	10	13	7	16	5	14	5	7	4	10	1	4	2	3	2	6	3	0	3	4	1	7	1	2	6	6
2310030G06Rik	6	8	7	15	4	3	15	15	0	23	4	14	2	15	5	15	2	4	4	7	4	7	2	4	5	7	2	4	2	2	8	6
2310033P09Rik	5	11	4	8	2	13	6	5	9	14	3	29	4	7	7	11	5	9	9	9	6	5	11	8	4	4	2	4	7	4	8	10
2310034C09Rik	3	6	10	9	3	10	3	6	8	7	5	16	3	7	3	9	3	2	4	3	0	1	1	1	1	2	3	3	4	1	1	3
2310034G01Rik	4	12	5	8	4	5	3	5	3	12	5	12	1	10	4	9	2	5	2	2	2	1	4	4	2	3	3	6	2	0	1	2
